task,country,age_bracket,sex,n,mean,std,sem,ci95
ETHICS justice,China,18-24,male,25,0.64616,0.01932977,0.003865954,0.0075772698
ETHICS justice,China,25-34,female,25,0.64576,0.014835992,0.0029671985,0.005815709
ETHICS justice,China,25-34,male,25,0.64048,0.011836103,0.0023672206,0.0046397524
ETHICS justice,China,35+,female,25,0.6424,0.010327956,0.0020655911,0.0040485586
ETHICS justice,China,35+,male,25,0.6408,0.0070237692,0.0014047538,0.0027533175
ETHICS justice,Germany,18-24,female,25,0.64728,0.014397685,0.002879537,0.0056438925
ETHICS justice,Germany,18-24,male,25,0.6604,0.01747379,0.003494758,0.0068497256
ETHICS justice,Germany,25-34,female,25,0.64776,0.015300545,0.0030601089,0.0059978135
ETHICS justice,Germany,25-34,male,25,0.6604,0.017253019,0.0034506038,0.0067631835
ETHICS justice,Germany,35+,female,25,0.64424,0.01423985,0.00284797,0.0055820213
ETHICS justice,Germany,35+,male,25,0.6532,0.014933185,0.0029866369,0.0058538083
ETHICS justice,India,18-24,female,25,0.63136,0.014079773,0.0028159545,0.0055192709
ETHICS justice,India,18-24,male,25,0.64496,0.013217665,0.002643533,0.0051813247
ETHICS justice,India,25-34,female,25,0.64072,0.0123677,0.00247354,0.0048481383
ETHICS justice,India,25-34,male,25,0.64112,0.012623787,0.0025247574,0.0049485245
ETHICS justice,India,35+,female,25,0.6384,0.015383974,0.0030767949,0.0060305179
ETHICS justice,India,35+,male,25,0.6376,0.010692677,0.0021385353,0.0041915292
ETHICS justice,South Afric,18-24,female,25,0.648,0.018466185,0.0036932371,0.0072387446
ETHICS justice,South Afric,18-24,male,25,0.64512,0.019000702,0.0038001403,0.0074482751
ETHICS justice,South Afric,25-34,female,25,0.64672,0.011385371,0.0022770741,0.0044630653
ETHICS justice,South Afric,25-34,male,25,0.64712,0.014810807,0.0029621614,0.0058058363
ETHICS justice,South Afric,35+,female,25,0.64152,0.010283968,0.0020567936,0.0040313155
ETHICS justice,South Afric,35+,male,25,0.64656,0.014849467,0.0029698934,0.005820991
ETHICS justice,USA,18-24,female,25,0.64728,0.013746272,0.0027492544,0.0053885387
ETHICS justice,USA,18-24,male,25,0.64968,0.013424853,0.0026849705,0.0052625422
ETHICS justice,USA,25-34,female,25,0.64872,0.011970519,0.0023941039,0.0046924436
ETHICS justice,USA,25-34,male,25,0.64712,0.01769256,0.0035385119,0.0069354834
ETHICS justice,USA,35+,female,25,0.6468,0.012342339,0.0024684678,0.0048381969
ETHICS justice,USA,35+,male,25,0.65344,0.014983547,0.0029967093,0.0058735502
ETHICS utilitarianism,Australia,18-24,female,25,0.62472,0.022247697,0.0044495393,0.008721097
ETHICS utilitarianism,Australia,18-24,male,25,0.6276,0.02395134,0.0047902679,0.0093889251
ETHICS utilitarianism,Australia,25-34,female,25,0.63104,0.018957145,0.0037914289,0.0074312007
ETHICS utilitarianism,Australia,25-34,male,25,0.62712,0.018664405,0.0037328809,0.0073164466
ETHICS utilitarianism,Australia,35+,female,25,0.63752,0.022047524,0.0044095049,0.0086426296
ETHICS utilitarianism,Australia,35+,male,25,0.6372,0.028734416,0.0057468832,0.011263891
ETHICS utilitarianism,Brazil,18-24,female,25,0.62696,0.020697182,0.0041394364,0.0081132953
ETHICS utilitarianism,Brazil,18-24,male,25,0.63248,0.020834907,0.0041669813,0.0081672834
ETHICS utilitarianism,Brazil,25-34,female,25,0.64024,0.020275766,0.0040551531,0.0079481001
ETHICS utilitarianism,Brazil,25-34,male,25,0.64072,0.02288289,0.0045765781,0.008970093
ETHICS utilitarianism,Brazil,35+,female,25,0.62496,0.021229853,0.0042459706,0.0083221025
ETHICS utilitarianism,Brazil,35+,male,25,0.63864,0.023185628,0.0046371255,0.0090887661
ETHICS utilitarianism,China,18-24,female,25,0.6204,0.01340398,0.0026807959,0.00525436
ETHICS utilitarianism,China,18-24,male,25,0.62448,0.015898428,0.0031796855,0.0062321836
ETHICS utilitarianism,China,25-34,female,25,0.62904,0.024056323,0.0048112646,0.0094300785
ETHICS utilitarianism,China,25-34,male,25,0.62824,0.019649597,0.0039299194,0.0077026421
ETHICS utilitarianism,China,35+,female,25,0.63328,0.019577879,0.0039155757,0.0076745284
ETHICS utilitarianism,China,35+,male,25,0.62624,0.016065698,0.0032131397,0.0062977538
ETHICS utilitarianism,Germany,18-24,female,25,0.62552,0.017685022,0.0035370044,0.0069325286
ETHICS utilitarianism,Germany,18-24,male,25,0.6256,0.022590558,0.0045181117,0.0088554989
ETHICS utilitarianism,Germany,25-34,female,25,0.62976,0.0218504,0.0043700801,0.008565357
ETHICS utilitarianism,Germany,25-34,male,25,0.62176,0.016003333,0.0032006666,0.0062733065
ETHICS utilitarianism,Germany,35+,female,25,0.62616,0.020485117,0.0040970233,0.0080301657
ETHICS utilitarianism,Germany,35+,male,25,0.6296,0.021205345,0.004241069,0.0083124953
ETHICS utilitarianism,India,18-24,female,25,0.62432,0.015096136,0.0030192273,0.0059176855
ETHICS utilitarianism,India,18-24,male,25,0.62384,0.022233008,0.0044466017,0.0087153393
ETHICS utilitarianism,India,25-34,female,25,0.63648,0.023897559,0.0047795118,0.0093678432
ETHICS utilitarianism,India,25-34,male,25,0.63416,0.024569086,0.0049138173,0.0096310818
ETHICS utilitarianism,India,35+,female,25,0.62848,0.017685022,0.0035370044,0.0069325286
ETHICS utilitarianism,India,35+,male,25,0.63168,0.021210689,0.0042421378,0.0083145901
ETHICS utilitarianism,South Afric,18-24,female,25,0.62584,0.014943449,0.0029886898,0.005857832
ETHICS utilitarianism,South Afric,18-24,male,25,0.62456,0.023491275,0.004698255,0.0092085798
ETHICS utilitarianism,South Afric,25-34,female,25,0.63296,0.025007466,0.0050014931,0.0098029265
ETHICS utilitarianism,South Afric,25-34,male,25,0.62488,0.021733845,0.0043467689,0.0085196671
ETHICS utilitarianism,South Afric,35+,female,25,0.6328,0.022538855,0.0045077711,0.0088352313
ETHICS utilitarianism,South Afric,35+,male,25,0.6332,0.024296776,0.0048593552,0.0095243363
ETHICS utilitarianism,USA,18-24,female,25,0.63536,0.027717143,0.0055434285,0.01086512
ETHICS utilitarianism,USA,18-24,male,25,0.6308,0.022090722,0.0044181444,0.008659563
ETHICS utilitarianism,USA,25-34,female,25,0.63024,0.017770012,0.0035540024,0.0069658448
ETHICS utilitarianism,USA,25-34,male,25,0.63088,0.020000667,0.0040001333,0.0078402613
ETHICS utilitarianism,USA,35+,female,25,0.6308,0.020696215,0.0041392431,0.0081129165
ETHICS utilitarianism,USA,35+,male,25,0.63728,0.026406312,0.0052812625,0.010351274
ETHICS virtue,Australia,18-24,female,25,0.90376,0.0069598851,0.001391977,0.0027282749
ETHICS virtue,Australia,18-24,male,25,0.90544,0.0074502796,0.0014900559,0.0029205096
ETHICS virtue,Australia,25-34,female,25,0.89824,0.0081510735,0.0016302147,0.0031952208
ETHICS virtue,Australia,25-34,male,25,0.90416,0.0062695029,0.0012539006,0.0024576451
ETHICS virtue,Australia,35+,female,25,0.90008,0.0076262704,0.0015252541,0.002989498
ETHICS virtue,Australia,35+,male,25,0.902,0.007,0.0014,0.002744
ETHICS virtue,Brazil,18-24,female,25,0.89928,0.010212411,0.0020424822,0.004003265
ETHICS virtue,Brazil,18-24,male,25,0.9048,0.0075718778,0.0015143756,0.0029681761
ETHICS virtue,Brazil,25-34,female,25,0.89888,0.0081256795,0.0016251359,0.0031852663
ETHICS virtue,Brazil,25-34,male,25,0.89912,0.0069541355,0.0013908271,0.0027260211
ETHICS virtue,Brazil,35+,female,25,0.90024,0.013169662,0.0026339324,0.0051625075
ETHICS virtue,Brazil,35+,male,25,0.90024,0.0070076149,0.001401523,0.002746985
ETHICS virtue,China,18-24,female,25,0.90504,0.0065350338,0.0013070068,0.0025617332
ETHICS virtue,China,18-24,male,25,0.90384,0.0053826883,0.0010765377,0.0021100138
ETHICS virtue,China,25-34,female,25,0.90328,0.0059408192,0.0011881638,0.0023288011
ETHICS virtue,China,25-34,male,25,0.89992,0.010156771,0.0020313542,0.0039814543
ETHICS virtue,China,35+,female,25,0.90016,0.0083050186,0.0016610037,0.0032555673
ETHICS virtue,China,35+,male,25,0.9028,0.0064031242,0.0012806248,0.0025100247
ETHICS virtue,Germany,18-24,female,25,0.9,0.0086023253,0.0017204651,0.0033721115
ETHICS virtue,Germany,18-24,male,25,0.904,0.0084063468,0.0016812694,0.0032952879
ETHICS virtue,Germany,25-34,female,25,0.89952,0.0085299472,0.0017059894,0.0033437393
ETHICS virtue,Germany,25-34,male,25,0.90704,0.0048345975,0.00096691951,0.0018951622
ETHICS virtue,Germany,35+,female,25,0.902,0.0074610098,0.001492202,0.0029247158
ETHICS virtue,Germany,35+,male,25,0.90272,0.0079137012,0.0015827402,0.0031021709
ETHICS virtue,India,18-24,female,25,0.89488,0.0090568574,0.0018113715,0.0035502881
ETHICS virtue,India,18-24,male,25,0.90456,0.0077140564,0.0015428113,0.0030239101
ETHICS virtue,India,25-34,female,25,0.89688,0.0082275958,0.0016455192,0.0032252176
ETHICS virtue,India,25-34,male,25,0.89976,0.0068634297,0.0013726859,0.0026904644
ETHICS virtue,India,35+,female,25,0.89976,0.0062535323,0.0012507065,0.0024513847
ETHICS virtue,India,35+,male,25,0.89792,0.0090458093,0.0018091619,0.0035459573
ETHICS virtue,South Afric,18-24,female,25,0.90152,0.0075339233,0.0015067847,0.0029532979
ETHICS virtue,South Afric,18-24,male,25,0.90256,0.0079271685,0.0015854337,0.00310745
ETHICS virtue,South Afric,25-34,female,25,0.89968,0.0092678656,0.0018535731,0.0036330033
ETHICS virtue,South Afric,25-34,male,25,0.90408,0.0055521768,0.0011104354,0.0021764533
ETHICS virtue,South Afric,35+,female,25,0.89904,0.007960737,0.0015921474,0.0031206089
ETHICS virtue,South Afric,35+,male,25,0.9012,0.0064807407,0.0012961481,0.0025404504
ETHICS virtue,USA,18-24,female,25,0.89808,0.0082154326,0.0016430865,0.0032204496
ETHICS virtue,USA,18-24,male,25,0.90408,0.0078204859,0.0015640972,0.0030656305
ETHICS virtue,USA,25-34,female,25,0.89904,0.0071442284,0.0014288457,0.0028005375
ETHICS virtue,USA,25-34,male,25,0.89984,0.0089613987,0.0017922797,0.0035128683
ETHICS virtue,USA,35+,female,25,0.90032,0.0076087669,0.0015217534,0.0029826366
ETHICS virtue,USA,35+,male,25,0.9016,0.0069761498,0.00139523,0.0027346507
HHH alignment,Australia,18-24,female,25,0.46552036,0.0023800504,0.00047601007,0.00093297974
HHH alignment,Australia,18-24,male,25,0.46552036,0.0027149321,0.00054298643,0.0010642534
HHH alignment,Australia,25-34,female,25,0.46678733,0.0028257909,0.00056515819,0.0011077101
HHH alignment,Australia,25-34,male,25,0.46515837,0.0029208019,0.00058416038,0.0011449544
HHH alignment,Australia,35+,female,25,0.46696833,0.0026124447,0.00052248893,0.0010240783
HHH alignment,Australia,35+,male,25,0.46678733,0.0033760225,0.0006752045,0.0013234008
HHH alignment,Brazil,18-24,female,25,0.46461538,0.0021542771,0.00043085541,0.0008444766
HHH alignment,Brazil,18-24,male,25,0.46497738,0.0032733838,0.00065467675,0.0012831664
HHH alignment,Brazil,25-34,female,25,0.46425339,0.0026124447,0.00052248893,0.0010240783
HHH alignment,Brazil,25-34,male,25,0.46588235,0.0033250992,0.00066501984,0.0013034389
HHH alignment,Brazil,35+,female,25,0.46660633,0.0027149321,0.00054298643,0.0010642534
HHH alignment,Brazil,35+,male,25,0.46588235,0.0027647516,0.00055295031,0.0010837826
HHH alignment,China,18-24,female,25,0.46515837,0.0031995782,0.00063991564,0.0012542347
HHH alignment,China,18-24,male,25,0.46533937,0.0031130871,0.00062261742,0.0012203301
HHH alignment,China,25-34,female,25,0.46533937,0.0031130871,0.00062261742,0.0012203301
HHH alignment,China,25-34,male,25,0.46533937,0.0028257909,0.00056515819,0.0011077101
HHH alignment,China,35+,female,25,0.46552036,0.0027149321,0.00054298643,0.0010642534
HHH alignment,China,35+,male,25,0.46606335,0.0026124447,0.00052248893,0.0010240783
HHH alignment,Germany,18-24,female,25,0.46533937,0.0021383781,0.00042767562,0.00083824422
HHH alignment,Germany,18-24,male,25,0.46552036,0.0027149321,0.00054298643,0.0010642534
HHH alignment,Germany,25-34,female,25,0.46642534,0.0028973413,0.00057946826,0.0011357578
HHH alignment,Germany,25-34,male,25,0.46588235,0.0027647516,0.00055295031,0.0010837826
HHH alignment,Germany,35+,female,25,0.46606335,0.0029208019,0.00058416038,0.0011449544
HHH alignment,Germany,35+,male,25,0.46552036,0.0030128182,0.00060256363,0.0011810247
HHH alignment,India,18-24,female,25,0.46533937,0.0025057689,0.00050115378,0.0009822614
HHH alignment,India,18-24,male,25,0.46570136,0.0028973413,0.00057946826,0.0011357578
HHH alignment,India,25-34,female,25,0.46497738,0.0030014704,0.00060029408,0.0011765764
HHH alignment,India,25-34,male,25,0.46515837,0.0026124447,0.00052248893,0.0010240783
HHH alignment,India,35+,female,25,0.46606335,0.0026124447,0.00052248893,0.0010240783
HHH alignment,India,35+,male,25,0.46552036,0.0030128182,0.00060256363,0.0011810247
HHH alignment,South Afric,18-24,female,25,0.46588235,0.0027647516,0.00055295031,0.0010837826
HHH alignment,South Afric,18-24,male,25,0.46552036,0.0030128182,0.00060256363,0.0011810247
HHH alignment,South Afric,25-34,female,25,0.46570136,0.0028973413,0.00057946826,0.0011357578
HHH alignment,South Afric,25-34,male,25,0.46515837,0.0026124447,0.00052248893,0.0010240783
HHH alignment,South Afric,35+,female,25,0.46425339,0.0026124447,0.00052248893,0.0010240783
HHH alignment,South Afric,35+,male,25,0.46678733,0.0028257909,0.00056515819,0.0011077101
HHH alignment,USA,18-24,female,25,0.46588235,0.0024367262,0.00048734523,0.00095519665
HHH alignment,USA,18-24,male,25,0.46696833,0.0031995782,0.00063991564,0.0012542347
